location_id,location_name,date,session,wind_speed_kn,gust_kn,wind_direction_deg,month,year
LOC01,Cumbuco,2023-01-01,allday,21.5,27.7,0,1,2023
LOC01,Cumbuco,2023-01-02,allday,19.6,25.5,90,1,2023
LOC01,Cumbuco,2023-01-03,allday,22.0,,0,1,2023
LOC01,Cumbuco,2023-01-04,allday,24.7,28.0,225,1,2023
LOC01,Cumbuco,2023-01-07,allday,20.0,25.8,135,1,2023
LOC01,Cumbuco,2023-01-08,allday,22.3,30.7,225,1,2023
LOC01,Cumbuco,2023-01-09,allday,18.6,22.3,180,1,2023
LOC01,Cumbuco,2023-01-10,allday,21.6,26.7,225,1,2023
LOC01,Cumbuco,2023-01-11,allday,18.6,23.3,225,1,2023
LOC01,Cumbuco,2023-01-12,allday,18.7,21.8,45,1,2023
LOC01,Cumbuco,2023-01-13,allday,20.7,25.5,225,1,2023
LOC01,Cumbuco,2023-01-14,allday,13.0,18.9,0,1,2023
LOC01,Cumbuco,2023-01-15,allday,13.0,19.4,180,1,2023
LOC01,Cumbuco,2023-01-16,allday,18.3,23.8,225,1,2023
LOC01,Cumbuco,2023-01-17,allday,17.0,19.3,135,1,2023
LOC01,Cumbuco,2023-01-18,allday,20.9,28.0,315,1,2023
LOC01,Cumbuco,2023-01-19,allday,17.3,23.3,270,1,2023
LOC01,Cumbuco,2023-01-20,allday,15.8,21.5,90,1,2023
LOC01,Cumbuco,2023-01-21,allday,24.5,30.6,45,1,2023
LOC01,Cumbuco,2023-01-22,allday,19.3,22.7,45,1,2023
LOC01,Cumbuco,2023-01-23,allday,20.2,23.3,90,1,2023
LOC01,Cumbuco,2023-01-24,allday,15.7,21.7,0,1,2023
LOC01,Cumbuco,2023-01-25,allday,17.0,22.9,180,1,2023
LOC01,Cumbuco,2023-01-26,allday,20.3,23.6,315,1,2023
LOC01,Cumbuco,2023-01-27,allday,16.5,20.7,225,1,2023
LOC01,Cumbuco,2023-01-28,allday,22.0,25.0,0,1,2023
LOC01,Cumbuco,2023-01-29,allday,17.0,24.2,135,1,2023
LOC01,Cumbuco,2023-01-30,allday,19.1,23.9,270,1,2023
LOC01,Cumbuco,2023-01-31,allday,18.2,23.0,180,1,2023
LOC01,Cumbuco,2023-02-01,allday,25.6,28.6,270,2,2023
LOC01,Cumbuco,2023-02-02,allday,20.0,22.8,45,2,2023
LOC01,Cumbuco,2023-02-03,allday,16.8,,270,2,2023
LOC01,Cumbuco,2023-02-04,allday,22.6,31.0,225,2,2023
LOC01,Cumbuco,2023-02-05,allday,16.3,,315,2,2023
LOC01,Cumbuco,2023-02-06,allday,20.6,26.3,0,2,2023
